"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1844","should create a booking successfully","","Fri Sep 27 11:30:49 ACST 2024","passed","Fri Sep 27 11:30:51 ACST 2024","","Booking  API tests","",""
"","2830","should click on continue button and navigate to next screen","","Fri Sep 27 11:37:00 ACST 2024","broken","Fri Sep 27 11:37:03 ACST 2024","","ID verse mobile automation","",""
"","1331","should update a booking successfully","","Fri Sep 27 11:30:52 ACST 2024","failed","Fri Sep 27 11:30:53 ACST 2024","","Booking  API tests","",""
"","2097","should delete the booking successfully","","Fri Sep 27 11:30:54 ACST 2024","passed","Fri Sep 27 11:30:57 ACST 2024","","Booking  API tests","",""
"","214","should validate Privacy text display","","Fri Sep 27 11:36:59 ACST 2024","passed","Fri Sep 27 11:36:59 ACST 2024","","ID verse mobile automation","",""
"","1371","should return an error for missing required fields","","Fri Sep 27 11:30:51 ACST 2024","failed","Fri Sep 27 11:30:52 ACST 2024","","Booking  API tests","",""
"","1040","should retrieve the booking successfully","","Fri Sep 27 11:30:53 ACST 2024","passed","Fri Sep 27 11:30:54 ACST 2024","","Booking  API tests","",""
"","519","should show an error when Accept is clicked without consent","","Fri Sep 27 11:36:59 ACST 2024","passed","Fri Sep 27 11:37:00 ACST 2024","","ID verse mobile automation","",""
"","576","should validate Consent checkbox display and able to select privacy consent checkbox","","Fri Sep 27 11:37:00 ACST 2024","failed","Fri Sep 27 11:37:00 ACST 2024","","ID verse mobile automation","",""
"","2306","should display the logo in the mobile browser","","Fri Sep 27 11:36:57 ACST 2024","passed","Fri Sep 27 11:36:59 ACST 2024","","ID verse mobile automation","",""
"","60109","should display the Qantas logo","","Fri Sep 27 11:32:26 ACST 2024","passed","Fri Sep 27 11:33:26 ACST 2024","","Qantas Website Tests","",""
"","96","should display Privacy consent header","","Fri Sep 27 11:36:59 ACST 2024","passed","Fri Sep 27 11:36:59 ACST 2024","","ID verse mobile automation","",""
"","1211","should accept camera popup","","Fri Sep 27 11:37:03 ACST 2024","passed","Fri Sep 27 11:37:04 ACST 2024","","ID verse mobile automation","",""
